system,learner_id,day,predictions,mae,rmse
improved-mini,L102,20,8,0.39979385000000006,0.41506122096433373
improved-mini,L111,20,8,0.36335106375000004,0.3731590816416216
improved-mini,L122,20,8,0.3306193525,0.34842877915891957
improved-mini,L126,20,8,0.316338895,0.33394264638353155
improved-mini,L128,20,8,0.41176430375000006,0.42829076918965947
improved-mini,L134,20,8,0.3942553150000001,0.419372611697569
improved-mini,L143,20,8,0.29788194625,0.31926889083750404
improved-mini,L152,20,8,0.51060322875,0.5178244692384457
improved-mini,L154,20,8,0.27654564,0.2913720508002155
improved-mini,L164,20,8,0.42183640125,0.42463410311831595
improved-mini,L165,20,8,0.483784235,0.49085512969461104
improved-mini,L171,20,8,0.3550620075,0.36532551148609593
improved-mini,L172,20,8,0.3097163375,0.3148280106748075
improved-mini,L185,20,8,0.35614708625,0.359586765391686
improved-mini,L187,20,8,0.34817476375,0.36952178809862296
improved-mini,L193,20,8,0.43581654875,0.4510265321692891
improved-mini,L206,20,8,0.4171993875,0.42989453692906265
improved-mini,L208,20,8,0.3273394025,0.34052268594907575
improved-mini,L211,20,8,0.39664768250000004,0.4010732001653842
improved-mini,L212,20,8,0.37236637875000006,0.37759430712650244
improved-mini,L235,20,8,0.4524450825,0.4656955864753857
improved-mini,L236,20,8,0.26953207375,0.2730130073619219
improved-mini,L239,20,8,0.38117529375,0.39313744157835184
improved-mini,L002,all,16,0.42983643812500005,0.44132056589462154
improved-mini,L005,all,16,0.3738994387500001,0.39166693357954935
improved-mini,L013,all,16,0.40560193687499996,0.4169580048348531
improved-mini,L019,all,16,0.31120438937500006,0.33914131360219607
improved-mini,L022,all,16,0.38444657062499993,0.3956753961320697
improved-mini,L025,all,16,0.258645705625,0.2783706419113509
improved-mini,L031,all,16,0.482910344375,0.49552923030325496
improved-mini,L035,all,16,0.583770156875,0.5887592277164293
improved-mini,L037,all,16,0.3318073925,0.3503779428753724
improved-mini,L039,all,16,0.40158387375,0.4179196499481428
improved-mini,L054,all,16,0.48323457437499995,0.49141241805785174
improved-mini,L057,all,16,0.4468529075,0.4518286990760182
improved-mini,L066,all,16,0.4666342,0.47367089851445426
improved-mini,L069,all,16,0.37576333375000004,0.4022616834246259
improved-mini,L070,all,16,0.42260884874999993,0.42824718749267204
improved-mini,L076,all,16,0.3701708625,0.38932456711957164
improved-mini,L079,all,16,0.43613935625,0.4494943530605189
improved-mini,L082,all,16,0.39321804375,0.4097051215607259
improved-mini,L086,all,16,0.45182935437499994,0.4576403552708995
improved-mini,L089,all,16,0.521971894375,0.5266953972201058
improved-mini,L091,all,16,0.46192897562499996,0.4752272413964114
improved-mini,L094,all,16,0.48350387875,0.49468381477683365
improved-mini,L095,all,16,0.45555828875000004,0.4590433933380534
improved-mini,L096,all,16,0.31942435562500004,0.3370000815988043
improved-mini,L099,all,16,0.50146290875,0.5129094321772818
improved-mini,L102,all,16,0.45787029937500007,0.4833785760404871
improved-mini,L111,all,16,0.41024143249999995,0.4268000461119193
improved-mini,L122,all,16,0.39234049249999997,0.40962344657757116
improved-mini,L126,all,16,0.3857354712500001,0.40449848203832656
improved-mini,L128,all,16,0.43280030374999995,0.4561175678941675
improved-mini,L134,all,16,0.35181507125,0.39792584398151226
improved-mini,L143,all,16,0.30055529625000005,0.32894244390695404
improved-mini,L152,all,16,0.5400239925,0.5468220659919596
improved-mini,L154,all,16,0.37795964500000007,0.40877522345996853
improved-mini,L164,all,16,0.414115058125,0.4212893263076028
improved-mini,L165,all,16,0.500854199375,0.5115146048242097
improved-mini,L171,all,16,0.43621213062499997,0.4533370500743715
improved-mini,L172,all,16,0.363225443125,0.3723391245772834
improved-mini,L185,all,16,0.402162848125,0.4152417795577646
improved-mini,L187,all,16,0.38616511375000007,0.4075191663447146
improved-mini,L193,all,16,0.4838081706250001,0.5112190377127306
improved-mini,L206,all,16,0.449555880625,0.4785988665848425
improved-mini,L208,all,16,0.3749743587500001,0.38876690400809394
improved-mini,L211,all,16,0.43830323812499994,0.4497920438474473
improved-mini,L212,all,16,0.45291762437500005,0.46701597771200404
improved-mini,L235,all,16,0.475198336875,0.48862484441054915
improved-mini,L236,all,16,0.3530100299999999,0.36952604063250066
improved-mini,L239,all,16,0.43711318624999995,0.451997623507383
improved-full,L002,10,8,0.2468195975,0.2893117855031051
improved-full,L005,10,8,0.18614560749999998,0.22230088948397567
improved-full,L013,10,8,0.24748517750000001,0.31010793021361605
improved-full,L019,10,8,0.30077168374999996,0.3143607338950886
improved-full,L022,10,8,0.3001201,0.34368189900408347
improved-full,L025,10,8,0.273734785,0.30261098513527346
improved-full,L031,10,8,0.17905936624999996,0.2167465292397947
improved-full,L035,10,8,0.11909254499999998,0.16551855773579333
improved-full,L037,10,8,0.23095120375,0.2500509363463766
improved-full,L039,10,8,0.15044371124999995,0.18917131896681452
improved-full,L054,10,8,0.32381849874999996,0.353516124923375
improved-full,L057,10,8,0.32115623624999995,0.37945001324028266
improved-full,L066,10,8,0.26335695625,0.34776617174812696
improved-full,L069,10,8,0.25141334249999997,0.3032826663853625
improved-full,L070,10,8,0.167150285,0.19884841685254714
improved-full,L076,10,8,0.19088412375,0.22556446181279272
